LOG2021-11-12 19:34:13,240 4440 INFO ? odoo: Odoo version 13.0-20211104 
2021-11-12 19:34:43,958 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:43] "POST /web/dataset/call_kw/ir.ui.view/check_access_rights HTTP/1.1" 200 - 2 0.005 0.015
2021-11-12 19:34:43,983 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:43] "POST /web/dataset/call_kw/res.users/systray_get_activities HTTP/1.1" 200 - 18 0.039 0.027
2021-11-12 19:34:43,986 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:43] "GET /web/image?model=res.users&field=image_128&id=2 HTTP/1.1" 200 - 18 0.045 0.021
2021-11-12 19:34:44,058 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:44] "POST /mail/init_messaging HTTP/1.1" 200 - 58 0.132 0.042
2021-11-12 19:34:44,291 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:44] "POST /web/dataset/call_kw/res.users/read HTTP/1.1" 200 - 2 0.000 0.005
2021-11-12 19:34:44,332 4440 INFO ? odoo.addons.bus.models.bus: Bus.loop listen imbus on db postgres 
2021-11-12 19:34:44,406 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:44] "POST /web/action/load HTTP/1.1" 200 - 14 0.011 0.016
2021-11-12 19:34:44,638 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:44] "POST /calendar/notify HTTP/1.1" 200 - 3 0.012 0.009
2021-11-12 19:34:44,682 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:44] "POST /web/dataset/call_kw/mail.message/load_views HTTP/1.1" 200 - 26 0.037 0.025
2021-11-12 19:34:44,738 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:44] "POST /web/dataset/call_kw/ir.filters/get_filters HTTP/1.1" 200 - 9 0.007 0.004
2021-11-12 19:34:45,033 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:45] "POST /web/dataset/call_kw/mail.message/message_fetch HTTP/1.1" 200 - 8 0.019 0.009
2021-11-12 19:34:45,117 4440 INFO ? werkzeug: 127.0.0.1 - - [12/Nov/2021 19:34:45] "GET /crm/static/description/icon.png HTTP/1.1" 200 - - - -
2021-11-12 19:35:13,838 4440 INFO Prueba odoo.addons.base.models.ir_cron: Starting job `Mail: Email Queue Manager`. 
2021-11-12 19:35:13,859 4440 INFO Prueba odoo.addons.base.models.ir_cron: Job `Mail: Email Queue Manager` done. 
2021-11-12 19:35:13,859 4440 INFO Prueba odoo.addons.base.models.ir_cron: Starting job `Partner Autocomplete : Sync with remote DB`. 
2021-11-12 19:35:13,873 4440 INFO Prueba odoo.addons.base.models.ir_cron: Job `Partner Autocomplete : Sync with remote DB` done. 
2021-11-12 19:35:13,873 4440 INFO Prueba odoo.addons.base.models.ir_cron: Starting job `SMS: SMS Queue Manager`. 
2021-11-12 19:35:13,873 4440 INFO Prueba odoo.addons.base.models.ir_cron: Job `SMS: SMS Queue Manager` done. 
2021-11-12 19:35:13,889 4440 INFO Prueba odoo.addons.base.models.ir_cron: Starting job `Snailmail: process letters queue`. 
2021-11-12 19:35:13,889 4440 INFO Prueba odoo.addons.base.models.ir_cron: Job `Snailmail: process letters queue` done. 
2021-11-12 19:35:13,889 4440 INFO Prueba odoo.addons.base.models.ir_cron: Starting job `Calendar: Event Reminder`. 
2021-11-12 19:35:13,906 4440 INFO Prueba odoo.addons.base.models.ir_cron: Job `Calendar: Event Reminder` done. 
2021-11-12 19:35:34,371 4440 INFO Prueba werkzeug: 127.0.0.1 - - [12/Nov/2021 19:35:34] "POST /longpolling/poll HTTP/1.1" 200 - 18 0.025 50.044
